species,origin,redlist
Spergularia kurkae,native,C2b
Spergularia marina,native,C1t
Spergularia media,native,C1t
Spergularia rubra,native,NA
Spinacia oleracea,NA,NA
Spiraea ‘Arguta’,NA,NA
Spiraea x billardii,neo,NA
Spiraea x cinerea,NA,NA
Spiraea x macrothyrsa,neo,NA
Spiraea x pseudosalicifolia,neo,NA
Spiraea x vanhouttei,NA,NA
Spiraea alba,neo,NA
Spiraea chamaedryfolia,neo,NA
Spiraea crenata,NA,NA
Spiraea douglasii,neo,NA
Spiraea hypericifolia,NA,NA
Spiraea hypericifolia subsp. obovata,NA,NA
Spiraea japonica,neo,NA
Spiraea latifolia,neo,NA
Spiraea media,NA,NA
Spiraea media subsp. media,NA,NA
Spiraea nipponica,NA,NA
Spiraea salicifolia,native,C3
Spiraea tomentosa,NA,NA
Spiranthes spiralis,native,C1t
Spirodela polyrhiza,native,NA
Sporobolus elongatus,neo,NA
Sporobolus vaginiflorus,neo,NA
Stachys x ambigua,native,NA
Stachys x digenea,native,NA
Stachys affinis,neo,NA
Stachys alpina,native,C3
Stachys alpina subsp. alpina,native,C3
Stachys annua,arch,C2t
Stachys arvensis,arch,C1t
Stachys byzantina,neo,NA
Stachys germanica,native,C2b
Stachys germanica subsp. germanica,native,C2b
Stachys palustris,native,NA
Stachys recta,native,NA
Stachys recta subsp. recta,native,NA
Stachys setifera,neo,NA
Stachys sylvatica,native,NA
Staphylea pinnata,native,C3
Stellaria alsine,native,NA
Stellaria graminea,native,NA
Stellaria holostea,native,NA
Stellaria longifolia,native,C3
Stellaria media,native,NA
Stellaria media agg.,native,NA
Stellaria neglecta,native,C3
Stellaria nemorum,native,NA
Stellaria pallida,native,NA
Stellaria palustris,native,C2b
Stellaria ruderalis,native,NA
Stipa borysthenica,native,C1b
Stipa capillata,native,C4a
Stipa dasyphylla,native,C2r
Stipa eriocaulis,native,C1r
Stipa glabrata,native,C1r
Stipa pennata,native,C3
Stipa pennata agg.,native,NA
Stipa pennata var. pennata,native,C3
Stipa pennata var. puberula,native,C1r
Stipa pulcherrima,native,C3
Stipa smirnovii,native,C1r
Stipa tirsa,native,C2b
Stratiotes aloides,native,C1t
Streptopus amplexifolius,native,C2t
Stuckenia pectinata,native,NA
Suaeda prostrata,native,A1
Suaeda salsa,neo,NA
Succisa pratensis,native,NA
Swertia perennis,native,C2r
Swertia perennis subsp. perennis,native,C2r
Symphoricarpos albus,neo,NA
Symphoricarpos orbiculatus,neo,NA
Symphyotrichum x salignum,neo,NA
Symphyotrichum x versicolor,neo,NA
Symphyotrichum cordifolium,neo,NA
Symphyotrichum dumosum x  S. novi-belgii,NA,NA
Symphyotrichum laeve,neo,NA
Symphyotrichum laeve x  S. lanceolatum,NA,NA
Symphyotrichum lanceolatum,neo,NA
Symphyotrichum novae-angliae,neo,NA
Symphyotrichum novi-belgii,neo,NA
Symphyotrichum novi-belgii agg.,neo,NA
Symphytum x hidcotense,neo,NA
Symphytum x uplandicum,neo,NA
Symphytum asperum,neo,NA
Symphytum bohemicum,native,C2t
Symphytum grandiflorum,neo,NA
Symphytum officinale,native,NA
Symphytum officinale agg.,native,NA
Symphytum tauricum,neo,NA
Symphytum tuberosum,native,NA
Symphytum tuberosum subsp. angustifolium,native,NA
Symphytum tuberosum subsp. tuberosum,native,NA
Syringa x chinensis,NA,NA
Syringa josikaea,NA,NA
Syringa vulgaris,neo,NA
Tagetes erecta,neo,NA
Tagetes patula,neo,NA
Tagetes tenuifolia,neo,NA
Tamarix gallica,NA,NA
Tamarix parviflora,NA,NA
Tamarix ramosissima,NA,NA
Tanacetum balsamita,NA,NA
Tanacetum corymbosum,native,NA
Tanacetum macrophyllum,neo,NA
Tanacetum parthenium,NA,NA
Tanacetum vulgare,arch,NA
Taraxacum aberrans,native,NA
Taraxacum acervatulum,native,NA
Taraxacum acroglossum,native,NA
Taraxacum acutifidum,native,C4b
Taraxacum acutifrons,native,C4a
Taraxacum adamii,native,C2b
Taraxacum aequilobum,native,NA
Taraxacum aequilobum agg.,native,NA
Taraxacum aethiopiforme,native,C4b
Taraxacum alatum,native,NA
Taraxacum alpestre,native,C1r
Taraxacum altissimum,native,NA
Taraxacum amaurolepis,native,C4b
Taraxacum ambrosium,native,A2
Taraxacum amplum,native,NA
Taraxacum ancistratum,native,C3
Taraxacum ancistrolobum,native,NA
Taraxacum ancoriferum,native,C1t
Taraxacum arachnoideum,native,C1t
Taraxacum arcuatum,native,C1b
Taraxacum argutum,native,C1t
Taraxacum aspectabile,native,NA
Taraxacum atactum,native,NA
Taraxacum atroviride,native,C4a
Taraxacum atrox,native,NA
Taraxacum aurosulum,native,C4a
Taraxacum austrinum,native,C1t
Taraxacum baeckiiforme,native,NA
Taraxacum bavaricum,native,C1t
Taraxacum bellicum,native,C4a
Taraxacum bellum,native,NA
Taraxacum bessarabicum,native,C1t
Taraxacum blomgrenii,native,C4b
Taraxacum boekmanii,native,C3
Taraxacum bohemicum,native,C1t
Taraxacum borgvallii,native,C4b
Taraxacum brachyglossum,native,NA
Taraxacum brachylepis,native,C3
Taraxacum bracteatum,native,C1t
Taraxacum breitfeldii,native,C4b
Taraxacum capillosum,native,C4b
Taraxacum chrysophaenum,native,C4a
Taraxacum clandestinum,native,NA
Taraxacum clarum,native,NA
Taraxacum coartatum,native,C4a
Taraxacum cognatum,native,C1t
Taraxacum contractum,native,NA
Taraxacum copidophyllum,native,C3
Taraxacum cordatum,native,C4b
Taraxacum corynodes,native,C4a
Taraxacum crassum,native,NA
Taraxacum cristatum,native,C4a
Taraxacum croceiflorum,native,C4a
Taraxacum cyanolepis,native,C2b
Taraxacum danubium,native,NA
Taraxacum deltoidifrons,native,NA
Taraxacum dentatum,native,C1t
Taraxacum diastematicum,native,NA
Taraxacum disseminatum,native,C1r
Taraxacum duplidentifrons,native,C2b
Taraxacum edmondsonianum,native,C4b
Taraxacum ekmanii,native,NA
Taraxacum elegantius,native,NA
Taraxacum erythrospermum,native,C4a
Taraxacum excellens,native,C3
Taraxacum expallidiforme,native,C4b
Taraxacum exsertiforme,native,NA
Taraxacum fartoris,native,C1t
Taraxacum fasciatum,native,NA
Taraxacum fascinans,native,C3
Taraxacum flavostylum,native,NA
Taraxacum floccosum,native,C4a
Taraxacum freticola,native,NA
Taraxacum fulvum,native,C4b
Taraxacum fusciflorum,native,C4a
Taraxacum gelertii,native,C3
Taraxacum gentile,native,NA
Taraxacum gesticulans,native,NA
Taraxacum gibberum,native,C3
Taraxacum glossodon,native,NA
Taraxacum gustavianum,native,C4b
Taraxacum guttigestans,native,NA
Taraxacum haematicum,native,C4b
Taraxacum hahnii,native,NA
Taraxacum hamatiforme,native,NA
Taraxacum hamatum,native,C2b
Taraxacum hemicyclum,native,NA
Taraxacum hempelianum,native,C4b
Taraxacum hepaticum,native,NA
Taraxacum hercynicum,native,C4a
Taraxacum hollandicum,native,C2t
Taraxacum homoschistum,native,C4b
Taraxacum horridifrons,native,NA
Taraxacum huelphersianum,native,NA
Taraxacum huterianum,native,C1t
Taraxacum indigenum,native,C1t
Taraxacum infuscatum,native,C4a
Taraxacum ingens,native,NA
Taraxacum intermedium,native,C2t
Taraxacum intermedium agg.,native,NA
Taraxacum interveniens,native,NA
Taraxacum intumescens,native,C4b
Taraxacum inundatum,native,A2
Taraxacum jugiferum,native,NA
Taraxacum kernianum,native,C2b
Taraxacum klingstedtii,native,C4b
Taraxacum koksaghyz,NA,NA
Taraxacum lacerifolium,native,NA
Taraxacum lacinulatum,native,NA
Taraxacum lacistophylloides,native,NA
Taraxacum lacistophyllum,native,C2b
Taraxacum lamprophyllum,native,NA
Taraxacum latens,native,C4b
Taraxacum laticordatum,native,NA
Taraxacum leptodon,native,C4b
Taraxacum leptoscelum,native,C4a
Taraxacum leucopodum,NA,NA
Taraxacum limosum,native,A2
Taraxacum linearisquameum,native,NA
Taraxacum lingulatum,native,NA
Taraxacum lissocarpum,native,C1t
Taraxacum litigiosum,native,C1t
Taraxacum lojoense,native,C4b
Taraxacum longisquameum,native,C4b
Taraxacum lucescens,native,C4b
Taraxacum lucidum,native,C3
Taraxacum lunare,native,C4b
Taraxacum lundense,native,NA
Taraxacum macranthoides,native,NA
Taraxacum maculatum,native,C4a
Taraxacum madidum,native,C1t
Taraxacum maricum,native,C3
Taraxacum megalosipteron,native,C4b
Taraxacum melanostigma,native,C4b
Taraxacum melanthoides,native,C4b
Taraxacum mendax,native,C1t
Taraxacum moldavicum,native,C4a
Taraxacum mutabile,native,C4a
Taraxacum nordstedtii,native,C4a
Taraxacum oblongatum,native,NA
Taraxacum obtusifrons,native,NA
Taraxacum obtusulum,native,C4b
Taraxacum ochrochlorum,native,NA
Taraxacum ohlsenii,native,NA
Taraxacum olivaceum,native,A2
Taraxacum opertum,native,C4b
Taraxacum ostenfeldii,native,C3
Taraxacum ottonis,native,C4b
Taraxacum oxyrhinum,native,NA
Taraxacum pallescens,native,C4b
Taraxacum pallidipes,native,NA
Taraxacum paludem-ornans,native,C1t
Taraxacum pannucium,native,C4a
Taraxacum parnassicum,native,NA
Taraxacum paucilobum,native,C1t
Taraxacum pauckertianum,native,C1t
Taraxacum pectinatiforme,native,C4a
Taraxacum persicum,native,NA
Taraxacum piceatum,native,NA
Taraxacum pilosella,native,C4b
Taraxacum pittochromatum,native,C4b
Taraxacum planum,native,NA
Taraxacum plicatifrons,native,C4b
Taraxacum plumbeum,native,C3
Taraxacum polyodon,native,C4b
Taraxacum porrigens,native,C4a
Taraxacum porrigentilobatum,native,C4a
Taraxacum portentosum,native,C1t
Taraxacum praeradians,native,C4b
Taraxacum praestabile,native,NA
Taraxacum princeps,native,C3
Taraxacum procerisquameum,native,C4b
Taraxacum pronilobum,native,NA
Taraxacum proximum,native,C2b
Taraxacum pseudobalticum,native,A2
Taraxacum pseudohamatum,native,C3
Taraxacum pseudopalustre,native,C1t
Taraxacum pseudoretroflexum,native,C4b
Taraxacum pudicum,native,NA
Taraxacum pulchrifolium,native,NA
Taraxacum pulverulentum,native,C4a
Taraxacum quadrangulum,native,NA
Taraxacum quadrans,native,C3
Taraxacum quaesitum,native,C1t
Taraxacum ranunculus,native,C1t
Taraxacum recurvum,native,C4b
Taraxacum reichlingii,native,A2
Taraxacum rhamphodes,native,C4b
Taraxacum rubicundum,native,C1b
Taraxacum ruptifolium,native,C4b
Taraxacum saxenii,native,C4b
Taraxacum saxonicum,native,C4b
Taraxacum scanicum,native,C3
Taraxacum sect. Alpestria,native,C1r
Taraxacum sect. Celtica,native,NA
Taraxacum sect. Dioszegia,native,C2b
Taraxacum sect. Erythrosperma,native,NA
Taraxacum sect. Hamata,native,NA
Taraxacum sect. Palustria,native,NA
Taraxacum sect. Piesis,native,C1t
Taraxacum sect. Taraxacum,native,NA
Taraxacum sellandii,native,C4a
Taraxacum semiglobosum,native,C4b
Taraxacum serotinum,native,C2b
Taraxacum sertatum,native,NA
Taraxacum sinuatum,native,NA
Taraxacum skalinskanum,native,C1t
Taraxacum sparsum,native,NA
Taraxacum speciosiflorum,native,NA
Taraxacum spurium,native,C1t
Taraxacum stenoglossum,native,C4b
Taraxacum subalpinum,native,C2t
Taraxacum subborgvallii,native,C4b
Taraxacum subcanescens,native,C4b
Taraxacum subericinum,native,C4b
Taraxacum subhamatum,native,C3
Taraxacum subhuelphersianum,native,C4b
Taraxacum sublaeticolor,native,C4a
Taraxacum subleucopodum,native,C4b
Taraxacum subsaxenii,native,C4b
Taraxacum subxanthostigma,native,NA
Taraxacum sundbergii,native,C4a
Taraxacum superbum,native,C4b
Taraxacum tenebricans,native,C2b
Taraxacum tenuilobum,native,NA
Taraxacum trilobifolium,native,A2
Taraxacum tumentilobum,native,NA
Taraxacum turfosum,native,C1t
Taraxacum uncidentatum,native,NA
Taraxacum uncosum,native,C4b
Taraxacum undulatiflorum,native,NA
Taraxacum undulatiforme,native,C4a
Taraxacum undulatum,native,C4a
Taraxacum uniforme,native,NA
Taraxacum urbicola,native,NA
Taraxacum uvidum,native,C1t
Taraxacum valens,native,NA
Taraxacum vastisectum,native,C4b
Taraxacum verticosum,native,NA
Taraxacum vindobonense,native,C1t
Taraxacum violaceifrons,native,NA
Taraxacum violaceinervosum,native,C4a
Taraxacum xanthostigma,native,C4b
Taxodium distichum,NA,NA
Taxus baccata,native,C3
Teesdalia nudicaulis,native,C2t
Telekia speciosa,neo,NA
Tellima grandiflora,neo,NA
Teloxys aristata,neo,NA
Tephroseris aurantiaca,native,C1t
Tephroseris crispa,native,C4a
Tephroseris integrifolia,native,C2b
Tephroseris longifolia,native,C1t
Tephroseris longifolia subsp. moravica,native,C1t
Tephroseris palustris,native,A1
Tetragonia tetragonoides,neo,NA
Teucrium botrys,native,C3
Teucrium chamaedrys,native,C4a
Teucrium hircanicum,neo,NA
Teucrium marum,NA,NA
Teucrium montanum,native,C2r
Teucrium montanum subsp. montanum,native,C2r
Teucrium polium,neo,NA
Teucrium scordium,native,C2b
Teucrium scorodonia,native,C2b
Teucrium scorodonia subsp. scorodonia,native,C2b
Thalictrum aquilegiifolium,native,NA
Thalictrum flavum,native,C2b
Thalictrum foetidum,native,C2r
Thalictrum lucidum,native,C3
Thalictrum minus,native,NA
Thalictrum minus nothosubsp. flexuosum,native,NA
Thalictrum minus subsp. minus,native,C3
Thalictrum simplex,native,C1b
Thalictrum simplex subsp. galioides,native,C1b
Thelypteris palustris,native,C3
Thermopsis villosa,neo,NA
Thesium alpinum,native,C3
Thesium bavarum,native,C2b
Thesium dollineri,native,C1t
Thesium ebracteatum,native,C1r
Thesium linophyllon,native,C3
Thesium pyrenaicum,native,C2t
Thesium ramosum,native,C1t
Thesium rostratum,native,C1b
Thladiantha dubia,neo,NA
Thlaspi arvense,arch,NA
Thuja occidentalis,neo,NA
Thuja plicata,neo,NA
Thujopsis dolabrata,NA,NA
Thymelaea passerina,native,C2t
Thymus x braunii,native,NA
Thymus x czorstynensis,native,NA
Thymus x korneckii,native,NA
Thymus x oblongifolius,native,NA
Thymus x porcii,native,NA
Thymus x pseudoalpestris,NA,NA
Thymus x radoi,native,NA
Thymus x schmidtii,native,NA
Thymus x sparsipilus,native,NA
Thymus x subhirsutus,native,NA
Thymus alpestris,native,C2r
Thymus drucei,neo,NA
Thymus glabrescens,native,C3
Thymus pannonicus,native,C4a
Thymus pannonicus x  Th. praecox,NA,NA
Thymus pannonicus x  Th. serpyllum,NA,NA
Thymus pannonicus agg.,native,NA
Thymus praecox,native,C4a
Thymus praecox subsp. praecox,native,C4a
Thymus pulcherrimus,native,C1r
Thymus pulcherrimus subsp. sudeticus,native,C1r
Thymus pulegioides,native,NA
Thymus pulegioides subsp. carniolicus,native,C1r
Thymus pulegioides subsp. chamaedrys,native,NA
Thymus pulegioides subsp. montanus,native,C4b
Thymus serpyllum,native,C4a
Thymus vulgaris,NA,NA
Tilia x europaea,native,NA
Tilia americana,NA,NA
Tilia cordata,native,NA
Tilia euchlora,NA,NA
Tilia platyphyllos,native,NA
Tilia platyphyllos subsp. cordifolia,native,C4b
Tilia platyphyllos subsp. platyphyllos,native,NA
Tilia platyphyllos subsp. pseudorubra,native,C4b
Tilia tomentosa,neo,NA
Tilia tomentosa ‘Petiolaris’,NA,NA
Tillaea aquatica,native,C1t
Tofieldia calyculata,native,C1t
Tolpis barbata,NA,NA
Tolpis staticifolia,neo,NA
Tordylium apulum,neo,NA
Tordylium maximum,native,C1t
Torilis arvensis,arch,C2t
Torilis arvensis subsp. arvensis,arch,C2t
Torilis japonica,native,NA
Torilis nodosa,neo,NA
Toxicodendron pubescens,neo,NA
Toxicodendron radicans,neo,NA
Trachyspermum ammi,neo,NA
Tradescantia x andersoniana,neo,NA
Tradescantia virginiana,NA,NA
Tragopogon x mirabilis,NA,NA
Tragopogon dubius,arch,NA
Tragopogon orientalis,native,NA
Tragopogon porrifolius,neo,NA
Tragopogon porrifolius subsp. porrifolius,neo,NA
Tragopogon pratensis,native,NA
Tragopogon pratensis agg.,native,NA
Tragopogon pratensis subsp. minor,native,C4b
Tragopogon pratensis subsp. pratensis,native,NA
Tragus racemosus,neo,NA
Trapa natans,native,C1b
Traunsteinera globosa,native,C2b
Tribulus terrestris,neo,NA
Trichomanes speciosum,native,C2r
Trichophorum alpinum,native,C2b
Trichophorum cespitosum,native,C3
Trientalis europaea,native,C4a
Trifolium alexandrinum,neo,NA
Trifolium alpestre,native,NA
Trifolium alpinum,neo,NA
Trifolium ambiguum,NA,NA
Trifolium angulatum,neo,NA
Trifolium angustifolium,neo,NA
Trifolium arvense,native,NA
Trifolium aureum,native,NA
Trifolium badium,neo,NA
Trifolium campestre,native,NA
Trifolium diffusum,neo,A3
Trifolium dubium,native,NA
Trifolium fragiferum,native,C3
Trifolium fragiferum var. bonannii,native,C3
Trifolium fragiferum var. fragiferum,native,C3
Trifolium glomeratum,neo,NA
Trifolium hybridum,NA,NA
Trifolium hybridum subsp. hybridum,NA,NA
Trifolium incarnatum,neo,NA
Trifolium incarnatum subsp. incarnatum,neo,NA
Trifolium lappaceum,neo,NA
Trifolium medium,native,NA
Trifolium montanum,native,NA
Trifolium ochroleucon,native,C3
Trifolium ornithopodioides,neo,NA
Trifolium pallidum,neo,NA
Trifolium pannonicum,neo,NA
Trifolium patens,native,C1t
Trifolium pratense,native,NA
Trifolium pratense Americanum Group,NA,NA
Trifolium pratense Sativum Group,NA,NA
Trifolium pratense subsp. pratense,native,NA
Trifolium repens,native,NA
Trifolium resupinatum,neo,NA
Trifolium resupinatum var. majus,neo,NA
Trifolium resupinatum var. resupinatum,neo,NA
Trifolium retusum,native,C1t
Trifolium rubens,native,C3
Trifolium spadiceum,native,C2t
Trifolium squamosum,neo,NA
Trifolium striatum,native,C1t
Trifolium subterraneum,neo,NA
Trifolium tomentosum,neo,NA
Trifolium vesiculosum,neo,NA
Triglochin maritima,native,A2
Triglochin palustris,native,C2t
Trigonella caerulea,neo,NA
Trigonella foenum-graecum,neo,NA
Trinia glauca,native,C1t
Trinia ucrainica,native,A1
Tripleurospermum inodorum,arch,NA
Tripolium pannonicum,native,C1t
Tripolium pannonicum subsp. pannonicum,native,C1t
Trisetum flavescens,native,NA
Triticum aestivum,arch,NA
Triticum aestivum Aestivum Group,arch,NA
Triticum aestivum Compactum Group,NA,NA
Triticum aestivum Spelta Group,NA,NA
Triticum monococcum,NA,NA
Triticum turgidum,arch,NA
Triticum turgidum Dicoccon Group,arch,NA
Triticum turgidum Durum Group,NA,NA
Triticum turgidum Polonicum Group,neo,NA
Triticum turgidum Turgidum Group,neo,NA
Trollius altissimus,native,C3
Tropaeolum majus,neo,NA
Tsuga canadensis,NA,NA
Tulipa x gesneriana,neo,NA
Tulipa sylvestris,neo,NA
Turgenia latifolia,arch,A1
Turritis,native,NA
Tussilago farfara,native,NA
Typha x glauca,native,NA
Typha angustifolia,native,NA
Typha latifolia,native,NA
Typha laxmannii,neo,NA
Typha minima,native,A1
Typha shuttleworthii,native,C1b
Ulex europaeus,neo,NA
Ulmus glabra,native,NA
Ulmus laevis,native,C4a
Ulmus minor,native,C4a
Urochloa platyphylla,neo,NA
Urtica dioica,native,NA
Urtica dioica x  U. kioviensis,NA,NA
Urtica kioviensis,native,C1b
Urtica pilulifera,neo,NA
Urtica urens,arch,C3
Utricularia australis,native,C4a
Utricularia bremii,native,C1b
Utricularia intermedia,native,C1t
Utricularia intermedia agg.,native,NA
Utricularia minor,native,C2b
Utricularia minor agg.,native,NA
Utricularia ochroleuca,native,C1t
Utricularia stygia,native,C4b
Utricularia vulgaris,native,C1t
Utricularia vulgaris agg.,native,NA
Vaccaria hispanica,arch,A2
Vaccaria hispanica var. hispanica,arch,A2
Vaccinium x intermedium,native,NA
Vaccinium corymbosum,neo,NA
Vaccinium microcarpum,native,C2r
Vaccinium myrtillus,native,NA
Vaccinium oxycoccos,native,C3
Vaccinium oxycoccos agg.,native,NA
Vaccinium uliginosum,native,NA
Vaccinium vitis-idaea,native,NA
Vaccinium vitis-idaea subsp. vitis-idaea,native,NA
Valeriana dioica,native,C4a
Valeriana dioica agg.,native,NA
Valeriana excelsa,native,C4a
Valeriana excelsa nothosubsp. transiens,native,C4b
Valeriana excelsa subsp. excelsa,native,C4a
Valeriana excelsa subsp. sambucifolia,native,C4a
Valeriana officinalis,native,NA
Valeriana officinalis agg.,native,NA
Valeriana officinalis var. officinalis,native,NA
Valeriana officinalis var. tenuifolia,native,NA
Valeriana simplicifolia,native,C3
Valeriana stolonifera,native,C4a
Valeriana stolonifera subsp. angustifolia,native,C4a
Valeriana tripteris,native,C3
Valeriana tripteris subsp. austriaca,native,C3
Valerianella carinata,native,C2r
Valerianella dentata,arch,C4a
Valerianella dentata subsp. dentata,arch,C4a
Valerianella dentata subsp. eriosperma,arch,C3
Valerianella locusta,native,NA
Valerianella rimosa,arch,C1t
Vallisneria spiralis,neo,NA
Ventenata dubia,native,C1t
Veratrum album,native,C4a
Veratrum album subsp. album,native,C2r
Veratrum album subsp. lobelianum,native,C4a
Veratrum nigrum,native,C1r
Verbascum x ambiguum,native,NA
Verbascum x bastardii,native,NA
Verbascum x brockmuelleri,native,NA
Verbascum x danubiale,native,NA
Verbascum x denudatum,native,NA
Verbascum x divaricatum,native,NA
Verbascum x duernsteinense,native,NA
Verbascum x flagriforme,native,NA
Verbascum x ignescens,native,NA
Verbascum x interjectum,native,NA
Verbascum x intermedium,native,NA
Verbascum x juratzkae,native,NA
Verbascum x kerneri,native,NA
Verbascum x neilreichii,native,NA
Verbascum x obornyi,native,NA
Verbascum x pseudoblattaria,native,NA
Verbascum x pseudolychnitis,native,NA
Verbascum x ramigerum,native,NA
Verbascum x rubiginosum,native,NA
Verbascum x schiedeanum,native,NA
Verbascum x schneiderianum,native,NA
Verbascum x schottianum,native,NA
Verbascum x semialbum,NA,NA
Verbascum x spurium,native,NA
Verbascum x subnigrum,native,NA
Verbascum x ustulatum,native,NA
Verbascum x versiflorum,native,NA
Verbascum x vidavense,native,NA
Verbascum blattaria,native,C2b
Verbascum chaixii,native,C4a
Verbascum chaixii subsp. austriacum,native,C4a
Verbascum densiflorum,native,C4a
Verbascum lychnitis,native,NA
Verbascum lychnitis subsp. lychnitis,native,NA
Verbascum lychnitis subsp. moenchii,native,C2r
Verbascum nigrum,native,NA
Verbascum niveum,neo,NA
Verbascum niveum subsp. visianianum,neo,NA
Verbascum phlomoides,native,NA
Verbascum phoeniceum,native,C3
Verbascum phoeniceum subsp. phoeniceum,native,C3
Verbascum speciosum,native,C1r
Verbascum speciosum subsp. speciosum,native,C1r
Verbascum thapsus,native,NA
Verbascum thapsus subsp. thapsus,native,NA
Verbena x hybrida,neo,NA
Verbena bonariensis,neo,NA
Verbena incompta,NA,NA
Verbena officinalis,arch,C3
Verbena peruviana,neo,NA
Verbena rigida,neo,NA
Veronica x lackschewitzii,native,NA
Veronica x media,native,NA
Veronica agrestis,arch,C2t
Veronica anagallis-aquatica,native,NA
Veronica anagallis-aquatica agg.,native,NA
Veronica anagallis-aquatica subsp. anagallis-aquatica,native,NA
Veronica anagalloides,native,C2r
Veronica arvensis,NA,NA
Veronica austriaca,native,C2b
Veronica austriaca agg.,native,NA
Veronica beccabunga,native,NA
Veronica bellidioides,native,C1r
Veronica catenata,native,C3
Veronica chamaedrys,native,NA
Veronica chamaedrys agg.,native,NA
Veronica chamaedrys subsp. chamaedrys,native,NA
Veronica dillenii,native,C4a
Veronica filiformis,neo,NA
Veronica gentianoides,neo,NA
Veronica hederifolia,arch,C4b
Veronica hederifolia agg.,native,NA
Veronica incana,neo,NA
Veronica incana x  V. maritima,NA,NA
Veronica incana subsp. incana,neo,NA
Veronica maritima,native,C3
Veronica maritima x  V. spuria subsp. foliosa,NA,NA
Veronica montana,native,C4a
Veronica officinalis,native,NA
Veronica officinalis var. alpestris,native,NA
Veronica officinalis var. officinalis,native,NA
Veronica opaca,arch,C1t
Veronica orchidea,native,C3
Veronica peregrina,neo,NA
Veronica peregrina var. peregrina,neo,NA
Veronica peregrina var. xalapensis,neo,NA
Veronica persica,neo,NA
Veronica polita,arch,NA
Veronica praecox,native,C3
Veronica prostrata,native,C4a
Veronica pumila,native,A1
Veronica scardica,native,C1b
Veronica scutellata,native,C4a
Veronica serpyllifolia,native,NA
Veronica serpyllifolia subsp. serpyllifolia,native,NA
Veronica spicata,native,C4a
Veronica spicata subsp. spicata,native,C4a
Veronica spuria,native,C1t
Veronica spuria subsp. foliosa,native,C1t
Veronica sublobata,native,NA
Veronica teucrium,native,C4a
Veronica triloba,arch,C2t
Veronica triphyllos,arch,NA
Veronica verna,native,C4a
Veronica verna agg.,native,NA
Veronica vindobonensis,native,NA
Viburnum carlesii,NA,NA
Viburnum farreri,NA,NA
Viburnum lantana,native,C4a
Viburnum opulus,native,NA
Viburnum rhytidophyllum,neo,NA
Vicia angustifolia,arch,NA
Vicia angustifolia var. angustifolia,arch,NA
Vicia angustifolia var. segetalis,arch,NA
Vicia articulata,neo,NA
Vicia bithynica,neo,NA
Vicia cassubica,native,C3
Vicia cracca,native,NA
Vicia cracca agg.,native,NA
Vicia dalmatica,native,C4b
Vicia dumetorum,native,C4a
Vicia ervilia,arch,NA
Vicia faba,arch,NA
Vicia grandiflora,neo,NA
Vicia hirsuta,native,NA
Vicia lathyroides,native,C3
Vicia lutea,neo,NA
Vicia melanops,neo,NA
Vicia narbonensis,NA,NA
Vicia onobrychioides,neo,NA
Vicia oreophila,native,C4b
Vicia pannonica,arch,C2t
Vicia pannonica subsp. pannonica,arch,C2t
Vicia pannonica subsp. striata,arch,C2t
Vicia pisiformis,native,C3
Vicia sativa,arch,NA
Vicia sativa agg.,arch,NA
Vicia sativa var. cordata,arch,NA
Vicia sativa var. sativa,arch,NA
Vicia sepium,native,NA
Vicia sepium var. eriocalyx,native,NA
Vicia sepium var. montana,native,NA
Vicia sepium var. sepium,native,NA
Vicia sylvatica,native,NA
Vicia tenuifolia,native,NA
Vicia tetrasperma,native,NA
Vicia villosa,arch,NA
Vicia villosa subsp. varia,arch,NA
Vicia villosa subsp. villosa,arch,NA
Vinca major,NA,NA
Vinca minor,NA,NA
Vincetoxicum hirundinaria,native,NA
Vincetoxicum hirundinaria subsp. hirundinaria,native,NA
Viola x adulterina,native,NA
Viola x borussica,native,NA
Viola x braunii,native,NA
Viola x burnatii,native,NA
Viola x contempta,native,NA
Viola x contempta nothosubsp. bohemica,native,NA
Viola x contempta nothosubsp. contempta,native,NA
Viola x dubia,native,NA
Viola x gotlandica,native,NA
Viola x haynaldii,NA,NA
Viola x heterocarpa,native,NA
Viola x hirtaeformis,native,NA
Viola x hungarica,NA,NA
Viola x interjecta,native,NA
Viola x intersita,native,NA
Viola x iselensis,native,NA
Viola x kerneri,NA,NA
Viola x multicaulis,NA,NA
Viola x orophila,native,NA
Viola x perplexa,native,NA
Viola x poelliana,NA,NA
Viola x porphyrea,NA,NA
Viola x ritschliana,native,NA
Viola x scabra,NA,NA
Viola x semseyana,native,NA
Viola x skofitziana,native,NA
Viola x sourekii,neo,NA
Viola x tatrae,native,NA
Viola x torslundensis,native,NA
Viola x vindobonensis,NA,NA
Viola x wittrockiana,neo,NA
Viola alba,native,C1r
Viola alba subsp. alba,native,C1r
Viola ambigua,native,C3
Viola arvensis,native,NA
Viola arvensis x  V. lutea subsp. sudetica,NA,NA
Viola biflora,native,C4a
Viola canadensis,neo,NA
Viola canadensis var. rugulosa,neo,NA
Viola canina,native,NA
Viola canina subsp. canina,native,NA
Viola canina subsp. ruppii,native,C4b
Viola collina,native,NA
Viola cornuta,neo,NA
Viola cucullata,neo,NA
Viola elatior,native,C1t
Viola epipsila,native,A3
Viola hirta,native,NA
Viola kitaibeliana,native,C1r
Viola lutea,native,C2b
Viola lutea subsp. sudetica,native,C2b
Viola mirabilis,native,C4a
